feature,importance
n_illnesses_03,269319.1302307129
visit_med_03,266160.5660888672
rinc_pension_pct_change,263916.4725891113
searnings_change,263701.5342590332
income_sources_03,263109.82411499025
tired_03,256723.7322265625
depressed_12,253499.83743896484
lonely_12,252620.66958007813
test_chol_change,252532.09467163085
n_illnesses_pct_change,251061.63732910156
insurance_coverage_12,242544.98819580078
hinc_business_12,240612.04915161134
test_diab_12,238991.71892089845
sad_03,235489.95223388672
hinc_business_03,233307.69821777343
test_tuber_12,230040.61921386718
arthritis_change,229936.28035888672
n_iadl_12,228509.4390625
test_pres_12,225158.15665893554
enjoy_03,220012.7711669922
attends_club_12,218648.70776367188
enjoy_12,214898.05849609376
rjob_hrswk_change,213261.82990722655
test_diab_03,211931.6640625
sinc_pension_12,211627.96331176758
visit_dental_change,206639.25705566406
visit_med_change,206179.80959472657
hinc_cap_03,200643.5977661133
depressed_03,199845.92699584962
test_pres_change,198058.74759521484
happy_12,195790.9751159668
hypertension_change,194797.47049560546
tired_change,192517.1487060547
test_diab_change,192172.59392700196
adl_walk_12,177807.2170776367
restless_change,177442.2293395996
issste_12,171475.345703125
arthritis_12,166097.44057617188
visit_med_12,161299.3889526367
attends_class_12,159433.47834472655
stroke_12,154409.43117675782
sinc_pension_03,152919.48071899413
migration_03,152456.64010009766
sad_change,143956.83408203124
n_adl_12,138889.8850830078
hard_change,135708.1419128418
hinc_business_change,135697.3239868164
test_tuber_change,134536.9465698242
imss_change,134036.23436279298
lonely_change,133832.6726196289
test_pres_03,132719.87977905275
insured_12,129764.31987304687
hinc_assets_12,125030.28788452149
hincome_rate,120355.93569335938
tobacco_03,120123.06682128906
hinc_cap_pct_change,119248.64079589843
sinc_pension_change,118645.65903320312
n_iadl_change,118457.10576171875
happy_03,115971.80466308593
alcohol_03,112374.09582519531
depressed_change,112255.9076965332
tobacco_12,110816.93825683594
happy_change,107969.94271240235
hinc_assets_03,106866.18000488282
enjoy_change,104923.47200927735
hosp_12,96967.56146850585
n_mar_03,95111.83287963868
cesd_depressed_change,93369.15314331054
rearnings_pct_change,88276.81365966797
hosp_change,88218.03075561524
iadl_shop_12,86931.41290283203
visit_med_12_numeric,85129.32612304688
resp_ill_12,83412.15792236329
migration_12,83404.77404174805
adl_toilet_12,80358.0511352539
out_proc_12,79600.28055419921
n_adl_change,79447.96561279296
visit_dental_03_numeric,75066.95971679688
alcohol_change,74346.2628540039
adl_bed_change,66770.60084228516
diabetes_03,65519.81791992187
adl_dress_12,64250.326342773435
issste_03,62249.541491699216
iadl_shop_change,61609.582330322264
n_depr_rate,56477.719201660155
volunteer_12,54835.731915283206
diabetes_change,54107.98189086914
sinc_pension_pct_change,53158.82637939453
imss_12_numeric,53142.935864257815
hinc_business_pct_change,50985.00177612305
hinc_rent_03,49457.094970703125
n_illnesses_12_norm,48050.16776123047
searnings_pct_change,46838.79828491211
pem_def_mar_12,46233.3874206543
hinc_cap_rate,44625.75377197265
exer_3xwk_12_numeric,44187.58022460937
games_12_numeric,43253.70642089844
adl_walk_change,43189.45417480469
rinc_pension_rate,42807.21756591797
resp_ill_03,42111.07966308594
hinc_business_rate,39918.79874267578
adl_bed_12,37985.498138427734
resp_ill_change,36169.255822753905
adl_dress_03,35112.57350463867
hinc_rent_change,35087.05416870117
hosp_03,34924.884881591795
hinc_rent_12,34697.18713378906
imss_03_numeric,34601.15447998047
tobacco_change,33027.132824707034
exer_3xwk_03_numeric,32808.82475585937
seg_pop_12_numeric,32376.85889892578
issste_12_numeric,32272.056750488282
cancer_change,31413.349407958984
n_mar_change,29942.84395751953
n_illnesses_03_norm,29606.898522949217
insur_private_03,28634.431896972656
cancer_12,27730.067822265624
n_iadl_03,26421.490234375
visit_dental_12_numeric,25741.685961914063
insur_private_12,25618.7466796875
hrt_attack_12,25234.84076538086
issste_change,24604.673431396484
adl_dress_change,24124.921936035156
test_pres_rate,23360.922924804687
searnings_rate,21844.71844482422
pem_def_mar_03,21602.611779785155
n_illnesses_rate,21169.938317871092
rearnings_rate,20857.987591552734
n_iadl_12_norm,19806.899475097656
adl_bed_03,19480.47819824219
tired_pct_change,19470.567132568358
cesd_depressed_03,18935.086328125
cancer_03,18893.525732421876
test_pres_pct_change,18800.960943603517
table_games_12_numeric,18576.837243652342
iadl_meals_12,18478.28974609375
insur_other_12,18195.110693359376
insur_other_03,18119.322668457033
n_adl_03,18026.000354003907
energetic_rate,17926.480126953124
enjoy_rate,17682.092407226562
a34_12,17493.17060546875
visit_med_pct_change,17115.954846191406
sinc_pension_rate,16378.038391113281
sad_pct_change,16185.641424560547
iadl_meds_change,15873.7173828125
out_proc_change,15703.043524169922
tired_rate,15649.737841796876
n_iadl_rate,14698.24080810547
test_chol_rate,14112.351635742187
arthritis_pct_change,14104.210107421875
adl_walk_03,13865.964086914062
visit_dental_rate,13055.03798828125
lonely_pct_change,13012.455767822266
hinc_assets_change,12810.790014648437
hinc_rent_pct_change,12574.037109375
rjob_hrswk_rate,11957.62904663086
test_diab_rate,11916.545947265626
insured_rate,11880.733911132813
cesd_depressed_12,11869.848962402344
iadl_meds_12,11719.882299804687
hosp_12_numeric,11170.433239746093
imss_rate,10700.566430664063
n_adl_12_norm,10608.602197265625
insur_private_change,10243.92660522461
hrt_attack_change,10131.085919189452
n_adl_rate,9953.534326171875
attends_club_12_numeric,9280.315051269532
iadl_money_12,9191.86622314453
happy_rate,9142.825427246094
visit_med_rate,8731.093017578125
hard_rate,8541.340551757812
hypertension_rate,8533.032592773438
n_mar_pct_change,8116.221594238281
adl_toilet_change,7779.678271484375
stroke_03,7660.836437988281
insur_other_change,7660.553540039063
volunteer_12_numeric,7501.445520019532
issste_rate,7400.854052734375
test_tuber_pct_change,7287.500048828125
restless_rate,7236.489221191407
n_mar_rate,7015.101354980468
iadl_shop_03,6978.9177917480465
hosp_rate,6943.34814453125
test_diab_pct_change,6834.378173828125
attends_class_12_numeric,6698.278869628906
iadl_meals_change,6629.318475341797
out_proc_12_numeric,6455.597924804688
n_iadl_pct_change,6432.928698730469
issste_03_numeric,6032.713464355469
diabetes_rate,5999.118017578125
imss_pct_change,5674.42197265625
cesd_depressed_pct_change,5560.461340332031
lonely_rate,5436.585888671875
test_tuber_rate,5144.946020507812
adl_toilet_03,5131.861358642578
hinc_rent_rate,5108.272119140625
insur_other_12_numeric,4923.5109375
sad_rate,4606.588415527343
restless_pct_change,4580.93603515625
arthritis_rate,4490.477319335938
adl_eat_12,4459.227459716797
adl_bath_12,4341.397204589844
adl_dress_rate,4067.9890747070312
n_iadl_03_norm,4066.017443847656
hosp_03_numeric,3996.0798828125
rjob_end_change,3989.423791503906
test_chol_pct_change,3688.1746337890627
insured_pct_change,3612.3540771484377
depressed_rate,3569.742639160156
alcohol_pct_change,3548.878454589844
stroke_change,3417.4488220214844
iadl_meds_rate,3407.3100830078124
hard_pct_change,3280.9660400390626
iadl_shop_pct_change,3240.1740234375
adl_walk_rate,2903.68798828125
insur_private_03_numeric,2833.3796203613283
cancer_pct_change,2572.73203125
alcohol_rate,2508.81611328125
tobacco_pct_change,2498.28798828125
energetic_pct_change,2386.0719970703126
hosp_pct_change,2299.280029296875
out_proc_03,2251.113562011719
exer_3xwk_pct_change,2220.66796875
enjoy_pct_change,2215.21796875
depressed_pct_change,2037.004052734375
adl_bath_change,2008.1916259765626
cancer_rate,1996.08994140625
hypertension_pct_change,1909.84404296875
insur_private_12_numeric,1897.4900634765625
hrt_attack_rate,1801.056005859375
n_adl_pct_change,1724.1581909179688
adl_dress_pct_change,1633.832373046875
exer_3xwk_rate,1626.4943969726562
happy_pct_change,1436.099609375
iadl_meals_rate,1349.01201171875
hrt_attack_03,1280.5670043945313
visit_dental_pct_change,1236.197998046875
iadl_money_change,1197.79599609375
rjob_end_pct_change,1159.5420166015624
cesd_depressed_rate,1049.0900146484375
n_adl_03_norm,913.4918090820313
resp_ill_pct_change,822.43798828125
adl_bed_rate,752.031982421875
out_proc_rate,679.0037963867187
hinc_assets_pct_change,518.8259765625
n_adl_12_numeric,491.127978515625
n_iadl_12_numeric,474.485986328125
resp_ill_rate,474.327978515625
adl_eat_rate,474.25400390625
hinc_assets_rate,427.033984375
hrt_attack_pct_change,386.756396484375
iadl_shop_rate,385.818798828125
out_proc_pct_change,324.3360107421875
insur_private_rate,290.2800048828125
adl_walk_pct_change,221.5360107421875
insur_other_pct_change,216.2800048828125
adl_toilet_rate,156.047802734375
n_adl_03_numeric,79.49539794921876
sgender_pct_change,0.0
decis_famil_03,0.0
stroke_pct_change,0.0
stroke_rate,0.0
bmi_12,0.0
decis_personal_12,0.0
decis_famil_rate,0.0
decis_famil_pct_change,0.0
bmi_change,0.0
decis_famil_change,0.0
bmi_pct_change,0.0
bmi_rate,0.0
decis_famil_12,0.0
sgender_rate,0.0
sgender_change,0.0
social_score_03,0.0
married_03,0.0
bmi_03,0.0
age_rate,0.0
a22_12,0.0
a33b_12,0.0
adl_bath_03,0.0
adl_bath_pct_change,0.0
adl_bath_rate,0.0
adl_bed_pct_change,0.0
adl_eat_03,0.0
adl_eat_change,0.0
adl_eat_pct_change,0.0
urban_rate,0.0
urban_pct_change,0.0
urban_change,0.0
urban_12,0.0
urban_03,0.0
tobacco_rate,0.0
adl_toilet_pct_change,0.0
sgender_03,0.0
age_03,0.0
age_03_numeric,0.0
age_12,0.0
age_12_numeric,0.0
age_change,0.0
age_health_interaction_03,0.0
age_health_interaction_12,0.0
age_pct_change,0.0
sgender_12,0.0
employment_pct_change,0.0
decis_personal_change,0.0
n_living_child_03,0.0
n_living_child_12,0.0
n_living_child_12_numeric,0.0
n_living_child_change,0.0
n_living_child_pct_change,0.0
n_living_child_rate,0.0
iadl_meds_pct_change,0.0
iadl_meds_03,0.0
out_proc_03_numeric,0.0
iadl_meals_pct_change,0.0
iadl_meals_03,0.0
pem_def_mar_change,0.0
pem_def_mar_pct_change,0.0
pem_def_mar_rate,0.0
glob_hlth_rate,0.0
glob_hlth_pct_change,0.0
n_living_child_03_numeric,0.0
iadl_money_03,0.0
glob_hlth_12_norm,0.0
iadl_money_pct_change,0.0
married_12,0.0
married_12_numeric,0.0
married_change,0.0
married_pct_change,0.0
married_rate,0.0
issste_pct_change,0.0
migration_change,0.0
migration_pct_change,0.0
migration_rate,0.0
insur_private_pct_change,0.0
a21_12,0.0
insur_other_rate,0.0
n_iadl_03_numeric,0.0
insur_other_03_numeric,0.0
iadl_money_rate,0.0
glob_hlth_change,0.0
glob_hlth_12,0.0
decis_personal_pct_change,0.0
rrelgimp_12,0.0
rrelgimp_pct_change,0.0
rrelgimp_rate,0.0
employment_03,0.0
edu_social_interaction_12,0.0
edu_social_interaction_03,0.0
edu_reading_interaction_12,0.0
edu_gru_rate,0.0
edu_gru_pct_change,0.0
edu_gru_change,0.0
edu_gru_12_numeric,0.0
edu_gru_12,0.0
edu_gru_03_numeric,0.0
edu_gru_03,0.0
diabetes_pct_change,0.0
decis_personal_rate,0.0
rrelgimp_change,0.0
rrelgimp_03,0.0
glob_hlth_03_norm,0.0
rjobend_reason_rate,0.0
glob_hlth_03,0.0
rjlocc_m_03,0.0
rjlocc_m_12,0.0
rjlocc_m_change,0.0
rjlocc_m_pct_change,0.0
rjlocc_m_rate,0.0
rjob_end_rate,0.0
employment_rate,0.0
married_03_numeric,0.0
employment_change,0.0
employment_12,0.0
rjobend_reason_03,0.0
rjobend_reason_12,0.0
rjobend_reason_change,0.0
rjobend_reason_pct_change,0.0
a16a_12,0.0
